Xc1	Xc2	Xp1	Xp2	Xi1	Xi2	Xs1	Xs2	Xs3	Xs4	Xs5	Xs6	Xs7	Xs8	Xs9	Xs10	Xs11	Xs12	Xs13	Xs14
0.275	0.508	1	1	0.067	0.013	0.385	0.095	0.026	0.126	0.043	0.126	0.011	0.055	0.03	0.029	0.065	0.008	0.01	0.249
0.084	0.108	1	1	0.055	0.01	0.072	0.048	0.029	0.054	0.012	0.039	0.012	0.027	0.016	0.059	0.05	0.064	0.007	0.017
0.07	0.093	1	1	0.034	0.026	0.009	0.012	0.034	0.006	0.017	0.039	0.018	0.016	0.031	0.009	0.019	0.065	0.056	0.047
0.073	0.625	0.999	1	0.125	0.161	0.027	0.139	0.028	0.019	0.035	0.079	0.144	0.022	0.027	0.021	0.018	0.108	0.012	0.057
0.847	0.758	0.997	1	0.094	0.013	0.027	0.03	0.021	0.119	0.03	0.189	0.052	0.169	0.265	0.025	0.18	0.115	0.046	0.064
0.159	0.429	1	1	0.09	0.022	0.083	0.023	0.101	0.564	0.058	0.027	0.074	0.03	0.012	0.25	0.112	0.024	0.117	0.094
0.39	0.223	1	1	0.052	0.01	0.09	0.013	0.006	0.006	0.001	0.031	0.124	0.015	0.004	0.059	0.02	0.03	0.008	0.009
0.028	0.02	1	1	0.108	0.038	0.018	0.032	0.123	0.106	0.02	0.062	0.17	0.094	0.021	0.028	0.159	0.188	0.109	0.136
0.874	0.611	1	1	0.496	0.01	0.267	0.024	0.063	0.11	0.062	0.068	0.02	0.046	0.018	0.025	0.039	0.053	0.027	0.043
0.835	0.428	1	1	0.039	0.025	0.094	0.057	0.1	0.291	0.045	0.076	0.309	0.046	0.212	0.268	0.239	0.09	0.025	0.086
0.268	0.084	1	1	0.073	0.021	0.036	0.02	0.055	0.349	0.036	0.014	0.031	0.072	0.106	0.044	0.017	0.062	0.104	0.131
0.107	0.346	1	1	0.432	0.031	0.057	0.077	0.17	0.065	0.209	0.074	0.017	0.244	0.058	0.349	0.145	0.023	0.101	0.041
0.664	0.139	1	1	0.119	0.046	0.031	0.012	0.064	0.064	0.016	0.044	0.176	0.048	0.028	0.356	0.012	0.042	0.023	0.013
0.103	0.094	1	0.998	0.032	0.029	0.049	0.033	0.008	0.041	0.069	0.056	0.02	0.052	0.154	0.008	0.223	0.03	0.008	0.039
0.687	0.778	1	1	0.019	0.092	0.039	0.008	0.093	0.061	0.011	0.015	0.021	0.076	0.03	0.023	0.146	0.011	0.029	0.04
0.748	0.483	1	1	0.014	0.015	0.091	0.057	0.061	0.015	0.026	0.053	0.021	0.014	0.143	0.017	0.036	0.013	0.019	0.034
0.472	0.528	1	1	0.02	0.038	0.27	0.018	0.02	0.102	0.02	0.017	0.014	0.225	0.015	0.015	0.019	0.012	0.024	0.041
0.964	0.155	1	1	0.03	0.101	0.097	0.027	0.016	0.044	0.026	0.039	0.037	0.051	0.352	0.025	0.248	0.058	0.028	0.646
0.375	0.734	1	1	0.33	0.026	0.03	0.031	0.334	0.193	0.018	0.072	0.091	0.023	0.03	0.024	0.122	0.033	0.018	0.19
0.728	0.702	1	1	0.201	0.022	0.165	0.106	0.214	0.159	0.053	0.038	0.025	0.47	0.049	0.212	0.025	0.181	0.039	0.021
0.528528528528528	0.635635635635636	1	1	0.035035035035035	0.034034034034034	0.026026026026026	0.039039039039039	0.262262262262262	0.624624624624625	0.0860860860860861	0.00800800800800801	0.0890890890890891	0.0750750750750751	0.419419419419419	0.036036036036036	0.037037037037037	0.04004004004004	0.0910910910910911	0.027027027027027
0.893	0.775	1	1	0.023	0.411	0.022	0.045	0.032	0.036	0.315	0.14	0.213	0.076	0.03	0.021	0.01	0.026	0.026	0.061
0.143	0.005	1	1	0.008	0.017	0.011	0.076	0.012	0.026	0.006	0.031	0.012	0.013	0.027	0.006	0.06	0.069	0.018	0.012
0.522	0.855	1	1	0.034	0.068	0.087	0.176	0.049	0.143	0.034	0.041	0.122	0.579	0.014	0.031	0.018	0.034	0.023	0.02
0.933	0.889	1	1	0.039	0.03	0.147	0.143	0.14	0.235	0.053	0.043	0.058	0.411	0.033	0.092	0.12	0.035	0.031	0.071
0.914	0.935	1	1	0.208	0.015	0.194	0.06	0.098	0.175	0.291	0.04	0.02	0.129	0.207	0.229	0.035	0.017	0.04	0.033
0.389	0.052	1	1	0.027	0.007	0.013	0.034	0.017	0.024	0.012	0.01	0.007	0.008	0.026	0.018	0.01	0.033	0.032	0.007
0.419	0.523	1	1	0.033	0.023	0.025	0.024	0.015	0.1	0.027	0.011	0.027	0.131	0.144	0.039	0.038	0.054	0.22	0.083
0.766	0.953	1	1	0.026	0.114	0.06	0.026	0.029	0.049	0.042	0.027	0.018	0.147	0.101	0.02	0.02	0.038	0.109	0.107
0.851	0.696	1	1	0.052	0.074	0.176	0.043	0.011	0.238	0.053	0.227	0.014	0.029	0.042	0.079	0.089	0.038	0.103	0.035
0.916	0.649	1	1	0.016	0.285	0.038	0.026	0.04	0.144	0.014	0.113	0.027	0.036	0.063	0.193	0.017	0.035	0.069	0.131
0.573	0.68	1	1	0.134	0.062	0.136	0.025	0.032	0.036	0.042	0.079	0.026	0.067	0.023	0.018	0.027	0.016	0.394	0.167
0.062	0.137	1	1	0.019	0.015	0.019	0.213	0.024	0.004	0.012	0.024	0.03	0.161	0.014	0.019	0.021	0.069	0.018	0.025
0.896	0.66	1	1	0.061	0.014	0.023	0.016	0.012	0.364	0.057	0.038	0.145	0.004	0.064	0.259	0.324	0.034	0.084	0.158
0.042	0.535	1	1	0.148	0.027	0.012	0.014	0.016	0.026	0.043	0.03	0.162	0.045	0.074	0.019	0.241	0.196	0.128	0.082
0.354	0.764	1	0.999	0.098	0.016	0.107	0.021	0.051	0.126	0.043	0.215	0.015	0.041	0.122	0.05	0.037	0.045	0.02	0.122
0.707	0.576	1	1	0.107	0.085	0.039	0.484	0.035	0.162	0.211	0.02	0.039	0.053	0.414	0.019	0.171	0.048	0.227	0.095
0.835	0.065	1	1	0.157	0.045	0.018	0.018	0.138	0.053	0.019	0.015	0.025	0.009	0.069	0.428	0.045	0.038	0.013	0.043
0.895	0.767	1	1	0.038	0.013	0.032	0.007	0.017	0.07	0.014	0.09	0.234	0.223	0.025	0.436	0.016	0.043	0.04	0.095
0.416	0.364	1	1	0.077	0.081	0.127	0.112	0.36	0.016	0.107	0.026	0.022	0.021	0.037	0.025	0.038	0.081	0.059	0.029
0.0213197969543147	0.510659898477157	0.965482233502538	1	0.115736040609137	0.0182741116751269	0.0649746192893401	0.182741116751269	0.0111675126903553	0.0639593908629442	0.0680203045685279	0.0263959390862944	0.0263959390862944	0.00913705583756345	0.110659898477157	0.0192893401015228	0.0192893401015228	0.128934010152284	0.0375634517766497	0.0182741116751269
0.82	0.673	1	0.994	0.057	0.128	0.047	0.035	0.092	0.04	0.164	0.097	0.039	0.05	0.256	0.02	0.16	0.066	0.043	0.051
0.583	0.489	1	1	0.086	0.026	0.022	0.014	0.01	0.078	0.005	0.062	0.08	0.091	0.031	0.023	0.021	0.178	0.036	0.034
0.356713426853707	0.712424849699399	1	1	0.106212424849699	0.06312625250501	0.0140280561122244	0.0270541082164329	0.113226452905812	0.0501002004008016	0.125250501002004	0.0601202404809619	0.0210420841683367	0.0130260521042084	0.0420841683366733	0.0250501002004008	0.108216432865731	0.0350701402805611	0.031062124248497	0.0531062124248497
0.804	0.971	1	1	0.119	0.034	0.061	0.298	0.226	0.571	0.089	0.115	0.045	0.108	0.045	0.079	0.113	0.099	0.029	0.048
0.16	0.393	1	1	0.058	0.006	0.007	0.007	0.052	0.018	0.025	0.029	0.017	0.013	0.026	0.02	0.032	0.14	0.013	0.019
0.077	0.676	1	1	0.033	0.05	0.105	0.25	0.029	0.016	0.132	0.102	0.039	0.024	0.012	0.029	0.015	0.019	0.046	0.061
0.949	0.539	1	1	0.028	0.013	0.02	0.078	0.063	0.123	0.075	0.054	0.028	0.098	0.245	0.03	0.1	0.037	0.021	0.023
0.225	0.794	1	1	0.103	0.077	0.105	0.058	0.054	0.024	0.207	0.055	0.107	0.063	0.031	0.03	0.076	0.197	0.023	0.044
0.888	0.441	1	0.999	0.029	0.1	0.062	0.035	0.151	0.106	0.026	0.079	0.085	0.028	0.06	0.019	0.025	0.114	0.029	0.015
0.067	0.021	0.999	1	0.009	0.012	0.061	0.037	0.012	0.013	0.012	0.008	0.074	0.096	0.005	0.136	0.011	0.106	0.028	0.024
0.471	0.064	1	1	0.099	0.047	0.063	0.239	0.015	0.024	0.053	0.097	0.015	0.148	0.051	0.031	0.014	0.011	0.069	0.092
0.858	0.856	1	1	0.115	0.089	0.04	0.099	0.065	0.081	0.014	0.481	0.039	0.171	0.038	0.58	0.132	0.073	0.044	0.027
0.716	0.078	1	1	0.093	0.056	0.019	0.01	0.017	0.019	0.09	0.018	0.018	0.014	0.143	0.015	0.027	0.01	0.068	0.014
0.872	0.723	1	1	0.293	0.088	0.111	0.205	0.079	0.253	0.053	0.145	0.168	0.036	0.04	0.191	0.026	0.336	0.164	0.281
0.432	0.937	1	1	0.087	0.028	0.045	0.031	0.073	0.01	0.013	0.011	0.093	0.028	0.067	0.029	0.117	0.021	0.015	0.015
0.177	0.434	1	1	0.089	0.043	0.024	0.015	0.087	0.02	0.018	0.081	0.012	0.024	0.009	0.44	0.305	0.05	0.026	0.009
0.508	0.551	1	1	0.039	0.23	0.095	0.057	0.15	0.04	0.019	0.037	0.267	0.024	0.08	0.017	0.043	0.028	0.077	0.047
0.669	0.5	1	1	0.022	0.016	0.029	0.039	0.19	0.068	0.042	0.201	0.104	0.03	0.055	0.12	0.033	0.172	0.453	0.171
0.022	0.192	1	0.998	0.017	0.01	0.054	0.049	0.026	0.043	0.019	0.038	0.377	0.023	0.163	0.029	0.038	0.182	0.038	0.014
0.509	0.235	1	1	0.135	0.75	0.095	0.368	0.395	0.096	0.332	0.313	0.056	0.038	0.16	0.171	0.245	0.299	0.229	0.052
0.426	0.269	1	1	0.019	0.02	0.016	0.013	0.006	0.019	0.042	0.034	0.151	0.014	0.012	0.011	0.007	0.032	0.036	0.075
0.775551102204409	0.503006012024048	0.965931863727455	1	0.0871743486973948	0.261523046092184	0.0110220440881764	0.0160320641282565	0.146292585170341	0.155310621242485	0.0190380761523046	0.0290581162324649	0.0851703406813627	0.0280561122244489	0.0230460921843687	0.030060120240481	0.0120240480961924	0.0210420841683367	0.0881763527054108	0.117234468937876
0.9	0.297	1	1	0.351	0.194	0.027	0.082	0.079	0.09	0.033	0.086	0.077	0.02	0.171	0.022	0.105	0.528	0.377	0.04
0.764	0.313	1	1	0.03	0.196	0.095	0.049	0.046	0.054	0.185	0.042	0.063	0.079	0.409	0.271	0.436	0.138	0.036	0.389
